frequency_khz,mean_abs_shap
18.4,1.5891629838611764e-05
18.5,1.601652315512089e-05
18.6,1.933749596325949e-05
18.7,2.1605300317134537e-05
18.8,1.657740604097635e-05
18.9,2.282353950176117e-05
19.0,6.85057049825165e-06
19.1,2.7801080049478887e-05
19.2,1.0127885234512605e-05
19.3,2.5038266080903096e-05
19.4,4.684883949850533e-06
19.5,6.130826521222856e-07
19.6,5.25613970205714e-07
19.7,3.011580878458276e-07
19.8,5.07631640054656e-07
19.9,1.4978929583259586e-06
20.0,2.0523140093028157e-06
20.1,4.979215559696477e-07
20.2,6.085796175818959e-06
20.3,3.1901843184218894e-06
20.4,2.985345213777632e-05
20.5,6.842940471564129e-06
20.6,3.254992781233865e-07
20.7,3.276320424335527e-07
20.8,4.475673263599214e-07
20.9,5.769482128929857e-06
21.0,1.4043142127915996e-05
21.1,2.891477644784274e-05
21.2,2.076687998314936e-05
21.3,2.1099169180789636e-05
21.4,2.8352868190382046e-05
21.5,3.499681357320572e-05
21.6,7.050284463203562e-06
21.7,1.4039542676376579e-06
21.8,1.7315019477752383e-06
21.9,3.041963855688359e-06
22.0,3.1062956097625064e-07
22.1,1.0914288143702342e-05
22.2,4.741108405318797e-06
22.3,1.276207926147515e-05
22.4,1.2769914574865879e-05
22.5,5.249731595782351e-07
22.6,1.3955623535121396e-05
22.7,8.057064748896268e-06
22.8,1.2638144198217989e-05
22.9,1.044091317493968e-05
23.0,2.919230831957452e-05
23.1,1.307603056085215e-05
23.2,3.33529696682494e-05
23.3,1.645796877637262e-05
23.4,2.119536228234104e-05
23.5,2.9524172502586255e-05
23.6,2.5147210218055418e-05
23.7,1.348906102583885e-05
23.8,9.573669153395337e-06
23.9,1.2930463821792778e-06
24.0,1.5421914387161605e-06
24.1,8.34374670205436e-07
24.2,6.205423578748654e-07
24.3,2.3473802191344853e-07
24.4,1.2963349879638113e-07
24.5,2.823363785212118e-07
24.6,8.16727404908875e-08
24.7,7.770737816323677e-08
24.8,8.913105955999371e-08
24.9,1.3346868011032206e-07
25.0,1.495964909147068e-07
25.1,1.434548305496472e-07
25.2,1.2794754726222554e-07
25.3,1.8807580288911928e-07
25.4,1.0003107964060555e-07
25.5,7.122366629592076e-08
25.6,9.813692150923423e-08
