freq_khz,importance
13.4,1.69875551201092e-07
13.5,3.592337901948069e-07
13.6,1.2104780014100187e-07
13.7,1.8027632577909927e-07
13.8,2.340759158790327e-07
13.9,3.591984630173478e-07
14.0,4.82296525776994e-07
14.1,1.1517846253862859e-07
14.2,3.760514672700295e-07
14.3,9.023228853285132e-07
14.4,3.458822560832823e-07
14.5,1.1673267711975544e-06
14.6,1.1162416915276837e-06
14.7,1.9505959363087876e-06
14.8,8.108798555941503e-07
14.9,8.003356099293336e-07
15.0,4.996052297170834e-07
15.1,1.8710277234895082e-06
15.2,1.1178782527398844e-06
15.3,5.8173574477456235e-06
15.4,1.5552617989262632e-06
15.5,5.803554058680406e-06
15.6,1.7072494955547815e-05
15.7,3.948975207110886e-05
15.8,1.7671623220498416e-05
15.9,1.1511235851905692e-05
16.0,6.177313517657671e-06
16.1,2.3106241109299842e-05
16.2,5.0327130399297935e-05
16.3,1.1941779700596831e-05
16.4,2.2711927940559614e-05
16.5,1.1488590016718963e-05
16.6,1.784203278783714e-05
16.7,1.7015423313284977e-05
16.8,2.25283410600599e-05
16.9,5.938109073733422e-07
17.0,1.05570800372194e-06
17.1,1.1848420501068418e-05
17.2,7.502503485613481e-07
17.3,6.039016847901764e-07
17.4,2.647657226845039e-07
17.5,3.101366559972992e-07
17.6,1.8217480505921063e-07
17.7,3.183567934456101e-07
17.8,5.467098787583223e-07
17.9,1.2662622767034356e-05
18.0,1.727297852334946e-05
18.1,2.21885773413345e-05
18.2,2.8486592235858337e-05
18.3,1.6894987958380667e-05
18.4,1.1488670529449868e-05
18.5,1.1247040170441046e-05
18.6,2.227147668217125e-05
18.7,3.3725151594548587e-05
18.8,1.7387246545250566e-05
18.9,1.3558376239239694e-05
19.0,9.039917929575625e-06
19.1,1.747306913700171e-05
19.2,8.216034973539703e-06
19.3,2.726019706392977e-05
19.4,7.781609678898262e-06
19.5,4.09329239076128e-07
19.6,4.266190871419298e-07
19.7,3.5228123438539645e-07
19.8,8.972225666932554e-07
19.9,3.806627257654746e-07
20.0,4.359746499267225e-07
20.1,1.2823000641352434e-07
20.2,5.7938290818131985e-06
20.3,1.1396048505742395e-05
20.4,2.851417000131416e-05
20.5,3.8629844389122353e-07
20.6,1.8451222255228805e-07
20.7,1.4217515018990164e-07
20.8,3.42202649950262e-07
20.9,6.756410822303701e-07
21.0,2.272612494743769e-05
21.1,3.400534599742705e-05
21.2,2.8814628169640828e-05
21.3,2.8082299473693555e-05
21.4,3.392195183572338e-05
21.5,4.016464563313854e-05
21.6,1.2315589393126865e-05
21.7,2.147685381974673e-06
21.8,2.0884958205267796e-06
21.9,1.4807125286139847e-06
22.0,1.0292246762099053e-06
22.1,1.1782893712188153e-05
22.2,6.115428166138785e-06
22.3,5.960139200608752e-06
22.4,1.1668066959274748e-05
22.5,1.2165275858587793e-06
22.6,1.693900977949538e-05
22.7,5.858868401563799e-06
22.8,1.1204853545883222e-05
22.9,5.797388863203646e-06
23.0,2.7753526916022584e-05
23.1,2.997905666549548e-05
23.2,4.0331946322300175e-05
23.3,2.4474813278447533e-05
23.4,2.1703302046526613e-05
23.5,3.3161807879242585e-05
23.6,2.7116068372153387e-05
23.7,1.140049555957539e-05
23.8,1.0009489337987567e-05
23.9,9.18742168468748e-08
24.0,1.7449693642017152e-07
24.1,7.309277514871421e-07
24.2,9.270048764885712e-07
24.3,4.1597740423635433e-07
24.4,9.45242883124483e-08
24.5,1.1174794207117544e-07
24.6,4.1463849834852165e-08
24.7,4.7970069727518455e-08
24.8,1.3312505205446554e-07
24.9,2.8917740743433633e-07
25.0,1.471689755453597e-07
25.1,1.229239963226129e-07
25.2,4.2943210694675246e-07
25.3,6.939435952737604e-08
25.4,9.547727915986036e-08
25.5,1.5677938618057633e-07
25.6,1.3792803751109606e-08
