pass_order,condition_id,sample_id,ae_rms,vib_rms
175,9,15,0.48835429549217224,0.9260305166244507
176,9,16,0.5213725566864014,0.953544020652771
177,9,17,0.44952183961868286,0.9922723770141602
178,9,18,0.4036191999912262,0.9013261795043945
179,9,19,0.326185405254364,0.9594467282295227
180,9,20,0.3677250146865845,0.9954736828804016
181,10,1,0.5926840305328369,1.0105873346328735
182,10,2,0.5518915057182312,1.0187444686889648
183,10,3,0.6924000978469849,1.0555212497711182
184,10,4,0.5173608064651489,0.93519127368927
185,10,5,0.5586313009262085,0.9248877167701721
186,10,6,0.4706611931324005,0.8875033855438232
187,10,7,0.5999310612678528,0.9474735260009766
188,10,8,0.5378769636154175,0.9335632920265198
189,10,9,0.6185188293457031,1.0263793468475342
190,10,10,0.517008900642395,0.9226770401000977
191,10,11,0.5961264967918396,0.9429218173027039
192,10,12,0.45284193754196167,0.9134481549263
193,10,13,0.4234054386615753,0.8801331520080566
194,10,14,0.46906980872154236,0.8697694540023804
195,10,15,0.4928183853626251,0.8566960692405701
196,10,16,0.42108750343322754,0.8475885987281799
197,10,17,0.40592366456985474,0.8496053814888
198,10,18,0.4238947927951813,0.8447116613388062
199,10,19,0.509228527545929,0.8835346698760986
200,10,20,0.39465853571891785,0.8280845284461975
201,11,1,0.6501995325088501,0.4637523889541626
202,11,2,0.2235814929008484,0.4372487962245941
203,11,3,0.30400723218917847,0.41436198353767395
204,11,4,0.171658456325531,0.3689746856689453
205,11,5,0.14873357117176056,0.3922085464000702
206,11,6,0.38541102409362793,0.49808982014656067
207,11,7,0.2427792102098465,0.4427759051322937
208,11,8,0.3140208423137665,0.45198825001716614
209,11,9,0.4160173237323761,0.4267895519733429
210,11,10,0.30868589878082275,0.44734713435173035
211,11,11,0.18471753597259521,0.45177173614501953
212,11,12,0.37764501571655273,0.4611510932445526
213,11,13,0.2106018215417862,0.4186825752258301
214,11,14,0.29105421900749207,0.446821928024292
215,11,15,0.25255492329597473,0.4826270043849945
216,11,16,0.1499370038509369,0.4502367675304413
217,11,17,1.077075719833374,0.7610101103782654
218,11,18,0.15264178812503815,0.42511096596717834
219,11,19,0.1718187779188156,0.47507426142692566
220,11,20,0.08636698126792908,0.43218764662742615
221,12,1,0.4754875600337982,0.6740787029266357
222,12,2,0.3638375997543335,0.645348310470581
223,12,3,0.23616060614585876,0.6775687336921692
224,12,4,0.25312158465385437,0.6859346628189087
225,12,5,0.30465826392173767,0.7231951355934143
226,12,6,0.36282476782798767,0.7043309211730957
227,12,7,0.5550477504730225,0.7381365299224854
228,12,8,0.2551839351654053,0.6853728294372559
229,12,9,0.4481813609600067,0.7028645873069763
230,12,10,0.6232145428657532,0.6930372714996338
231,12,11,0.44123896956443787,0.7237827181816101
232,12,12,0.578018307685852,0.723152220249176
233,12,13,0.46320298314094543,0.67235267162323
234,12,14,0.47605061531066895,0.7404950857162476
235,12,15,0.439953088760376,0.7661426663398743
236,12,16,0.5237466096878052,0.6351063251495361
237,12,17,0.5013601183891296,0.6612216234207153
238,12,18,0.5692651867866516,0.661957323551178
239,12,19,0.40862351655960083,0.5739805102348328
240,12,20,0.40437981486320496,0.6917130351066589
241,13,1,0.7464538812637329,0.8284801840782166
242,13,2,1.0958949327468872,0.8603644371032715
243,13,3,0.7733023166656494,0.8893762230873108
244,13,4,0.4850362539291382,0.9070695638656616
245,13,5,0.5317885875701904,0.865281879901886
246,13,6,0.45114171504974365,0.851311445236206
247,13,7,0.39926594495773315,0.8438420295715332
248,13,8,0.538213849067688,0.9281692504882812
249,13,9,0.6317453384399414,0.8576387166976929
250,13,10,0.7007250785827637,0.9427280426025391
251,13,11,0.8076167106628418,0.8872773051261902
252,13,12,0.6408860683441162,0.9597561359405518
253,13,13,0.788270890712738,0.9244954586029053
254,13,14,0.895010232925415,0.9103410840034485
255,13,15,0.6314024329185486,0.9318665266036987
256,13,16,0.8204713463783264,1.018471598625183
257,13,17,0.7755616307258606,0.946121335029602
258,13,18,0.9185303449630737,1.0087336301803589
259,13,19,0.9051527380943298,0.903415858745575
260,13,20,0.7329370975494385,0.9605690240859985
261,14,1,0.4069453179836273,0.5386267304420471
262,14,2,0.7199065685272217,0.615870475769043
263,14,3,0.2672601044178009,0.4906258285045624
264,14,4,0.44637447595596313,0.4930470585823059
265,14,5,0.37974587082862854,0.5111244320869446
266,14,6,0.2703537940979004,0.48549291491508484
267,14,7,0.31311342120170593,0.4619089663028717
268,14,8,0.5249711871147156,0.5349738597869873
269,14,9,0.15388812124729156,0.454972505569458
270,14,10,0.25823062658309937,0.432524174451828
271,14,11,0.6080536842346191,0.465018630027771
272,14,12,0.8163142800331116,0.45702147483825684
273,14,13,1.2384172677993774,0.4277869164943695
274,14,14,1.179633378982544,0.47171494364738464
275,14,15,1.4036059379577637,0.4165174067020416
276,14,16,0.9554346203804016,0.4253682792186737
277,14,17,1.4027903079986572,0.48726171255111694
278,14,18,1.384250521659851,0.43766409158706665
279,14,19,1.575014352798462,0.4850497245788574
280,14,20,1.5563198328018188,0.48172634840011597
281,15,1,0.9447181820869446,0.7469402551651001
282,15,2,1.1019841432571411,0.9552426934242249
283,15,3,0.8603091835975647,0.814944326877594
284,15,4,0.48504021763801575,0.7440516948699951
285,15,5,0.5500692129135132,0.830950140953064
286,15,6,0.6005215048789978,0.8334558606147766
287,15,7,0.673828661441803,0.8171857595443726
288,15,8,0.7436591386795044,0.834052562713623
289,15,9,0.7761848568916321,0.8753864765167236
290,15,10,1.2631171941757202,1.0596411228179932
291,15,11,0.9714000225067139,0.8938312530517578
292,15,12,0.8853716850280762,0.7268955111503601
293,15,13,1.2230448722839355,0.7617405652999878
294,15,14,1.3884146213531494,0.7679266333580017
295,15,15,1.2952253818511963,0.7226278781890869
296,15,16,1.2803244590759277,0.7460058927536011
297,15,17,1.2650197744369507,0.7747605443000793
