Ra,pass_order,condition_id,sample_id
0.0866,169,9,9
0.0824,170,9,10
0.078,171,9,11
0.081,172,9,12
0.0814,173,9,13
0.0746,174,9,14
0.0774,175,9,15
0.0826,176,9,16
0.0726,177,9,17
0.0774,178,9,18
0.074,179,9,19
0.0756,180,9,20
0.0978,181,10,1
0.089,182,10,2
0.0944,183,10,3
0.076,184,10,4
0.0824,185,10,5
0.085,186,10,6
0.0786,187,10,7
0.0736,188,10,8
0.0794,189,10,9
0.0776,190,10,10
0.07,191,10,11
0.076,192,10,12
0.078,193,10,13
0.0744,194,10,14
0.0738,195,10,15
0.066,196,10,16
0.0732,197,10,17
0.0726,198,10,18
0.0732,199,10,19
0.0742,200,10,20
0.1136,201,11,1
0.1122,202,11,2
0.111,203,11,3
0.1058,204,11,4
0.1106,205,11,5
0.1026,206,11,6
0.1074,207,11,7
0.122,208,11,8
0.1002,209,11,9
0.1084,210,11,10
0.1108,211,11,11
0.1168,212,11,12
0.1102,213,11,13
0.1072,214,11,14
0.1054,215,11,15
0.103,216,11,16
0.1016,217,11,17
0.106,218,11,18
0.1034,219,11,19
0.1082,220,11,20
0.1022,221,12,1
0.1066,222,12,2
0.102,223,12,3
0.1022,224,12,4
0.1014,225,12,5
0.0928,226,12,6
0.0964,227,12,7
0.0968,228,12,8
0.0988,229,12,9
0.089,230,12,10
0.0898,231,12,11
0.0928,232,12,12
0.0972,233,12,13
0.094,234,12,14
0.0866,235,12,15
0.0864,236,12,16
0.0836,237,12,17
0.08,238,12,18
0.0796,239,12,19
0.0838,240,12,20
0.1062,241,13,1
0.103,242,13,2
0.0994,243,13,3
0.1004,244,13,4
0.0902,245,13,5
0.089,246,13,6
0.092,247,13,7
0.0888,248,13,8
0.0846,249,13,9
0.084,250,13,10
0.0866,251,13,11
0.0886,252,13,12
0.0832,253,13,13
0.0836,254,13,14
0.0818,255,13,15
0.0868,256,13,16
0.0786,257,13,17
0.0782,258,13,18
0.0884,259,13,19
0.0858,260,13,20
0.1094,261,14,1
0.1212,262,14,2
0.1074,263,14,3
0.1086,264,14,4
0.1058,265,14,5
0.104,266,14,6
0.1036,267,14,7
0.113,268,14,8
0.1072,269,14,9
0.1024,270,14,10
0.1052,271,14,11
0.106,272,14,12
0.1,273,14,13
0.099,274,14,14
0.1076,275,14,15
0.103,276,14,16
0.1064,277,14,17
0.1082,278,14,18
0.105,279,14,19
0.1046,280,14,20
0.1048,281,15,1
0.1162,282,15,2
0.108,283,15,3
0.1036,284,15,4
0.1024,285,15,5
0.0992,286,15,6
0.1066,287,15,7
0.102,288,15,8
0.094,289,15,9
0.1072,290,15,10
0.1078,291,15,11
0.1008,292,15,12
0.1058,293,15,13
0.1058,294,15,14
0.1018,295,15,15
0.0982,296,15,16
0.0956,297,15,17
0.0946,298,15,18
0.0942,299,15,19
0.0942,300,15,20
0.1154,301,16,1
0.1116,302,16,2
0.1018,303,16,3
0.1094,304,16,4
0.1038,305,16,5
0.1052,306,16,6
0.1072,307,16,7
0.1044,308,16,8
0.1016,309,16,9
0.1066,310,16,10
0.1044,311,16,11
0.098,312,16,12
0.0986,313,16,13
0.0922,314,16,14
0.092,315,16,15
0.0936,316,16,16
0.0916,317,16,17
0.0916,318,16,18
0.0946,319,16,19
0.0916,320,16,20
