family,config,learner,fold,mae
WST,ae_wst+vib_wst,RidgeRegressionModel,7,0.17575792968273163
WST,ae_wst+vib_wst,RidgeRegressionModel,8,0.020047694444656372
WST,ae_wst+vib_wst,RidgeRegressionModel,9,0.03128784894943237
WST,ae_wst+vib_wst,RidgeRegressionModel,10,0.028048191219568253
WST,ae_wst+vib_wst,RidgeRegressionModel,11,0.024607300758361816
WST,ae_wst+vib_wst,RidgeRegressionModel,12,0.013397512026131153
WST,ae_wst+vib_wst,RidgeRegressionModel,13,0.01794184185564518
WST,ae_wst+vib_wst,RidgeRegressionModel,14,0.0649147778749466
WST,ae_wst+vib_wst,RidgeRegressionModel,15,0.025668447837233543
WST,ae_wst+vib_wst,RidgeRegressionModel,16,0.021590670570731163
WST,ae_wst+vib_wst,LightGBMModel,1,0.00481478767231543
WST,ae_wst+vib_wst,LightGBMModel,2,0.008323426196245699
WST,ae_wst+vib_wst,LightGBMModel,3,0.009321428401087243
WST,ae_wst+vib_wst,LightGBMModel,4,0.007670069494581081
WST,ae_wst+vib_wst,LightGBMModel,5,0.004799813129798017
WST,ae_wst+vib_wst,LightGBMModel,6,0.005939540779283309
WST,ae_wst+vib_wst,LightGBMModel,7,0.2656920861112559
WST,ae_wst+vib_wst,LightGBMModel,8,0.08349490295168478
WST,ae_wst+vib_wst,LightGBMModel,9,0.012845288309094354
WST,ae_wst+vib_wst,LightGBMModel,10,0.01423688763562742
WST,ae_wst+vib_wst,LightGBMModel,11,0.017708073231642325
WST,ae_wst+vib_wst,LightGBMModel,12,0.007404321967023268
WST,ae_wst+vib_wst,LightGBMModel,13,0.010143094237585831
WST,ae_wst+vib_wst,LightGBMModel,14,0.01119042859451081
WST,ae_wst+vib_wst,LightGBMModel,15,0.01120508401223235
WST,ae_wst+vib_wst,LightGBMModel,16,0.008413643590489017
WST,ae_wst+vib_wst,ShallowMLPModel,1,0.39038923382759094
WST,ae_wst+vib_wst,ShallowMLPModel,2,0.294009268283844
WST,ae_wst+vib_wst,ShallowMLPModel,3,0.21719947457313538
WST,ae_wst+vib_wst,ShallowMLPModel,4,0.18091225624084473
WST,ae_wst+vib_wst,ShallowMLPModel,5,0.35228222608566284
WST,ae_wst+vib_wst,ShallowMLPModel,6,0.14625011384487152
WST,ae_wst+vib_wst,ShallowMLPModel,7,0.38032475113868713
WST,ae_wst+vib_wst,ShallowMLPModel,8,0.7276052832603455
WST,ae_wst+vib_wst,ShallowMLPModel,9,0.26736506819725037
WST,ae_wst+vib_wst,ShallowMLPModel,10,0.3450489640235901
WST,ae_wst+vib_wst,ShallowMLPModel,11,0.2614602744579315
WST,ae_wst+vib_wst,ShallowMLPModel,12,0.16344013810157776
WST,ae_wst+vib_wst,ShallowMLPModel,13,0.2103385627269745
WST,ae_wst+vib_wst,ShallowMLPModel,14,0.7125061750411987
WST,ae_wst+vib_wst,ShallowMLPModel,15,0.23230507969856262
WST,ae_wst+vib_wst,ShallowMLPModel,16,0.213130921125412
time-domain,ae_features+vib_features,RandomForestModel,1,0.013823733531326
time-domain,ae_features+vib_features,RandomForestModel,2,0.011840817597277531
time-domain,ae_features+vib_features,RandomForestModel,3,0.011914699865613755
time-domain,ae_features+vib_features,RandomForestModel,4,0.012137477867359497
time-domain,ae_features+vib_features,RandomForestModel,5,0.006836640989216136
time-domain,ae_features+vib_features,RandomForestModel,6,0.050772550704603826
time-domain,ae_features+vib_features,RandomForestModel,7,0.2520338460859376
time-domain,ae_features+vib_features,RandomForestModel,8,0.13113861730529197
time-domain,ae_features+vib_features,RandomForestModel,9,0.012442638046988095
time-domain,ae_features+vib_features,RandomForestModel,10,0.04887135778400472
time-domain,ae_features+vib_features,RandomForestModel,11,0.06914149024284907
time-domain,ae_features+vib_features,RandomForestModel,12,0.014564024651989601
time-domain,ae_features+vib_features,RandomForestModel,13,0.011050503228454495
time-domain,ae_features+vib_features,RandomForestModel,14,0.10141222729028598
