condition_id,y_true,y_pred,y_std,lower,upper,covered,interval_width
8,0.2232,0.30747199594974517,0.10023010704244023,0.047737223583524724,0.5672067683159656,True,0.5194695447324409
8,0.2316,0.3123879966139793,0.09443391939655976,0.06767337660734085,0.5571026166206178,True,0.4894292400132769
9,0.096,0.08711200058460236,0.009682575248287341,0.06202072260195157,0.11220327856725315,True,0.05018255596530158
9,0.0998,0.08786000043153763,0.008407163707304165,0.06607380448506832,0.10964619637800695,True,0.04357239189293863
9,0.094,0.08918799996376038,0.007699912943666598,0.06923456287108992,0.10914143705643084,True,0.03990687418534092
9,0.0954,0.08670800015330314,0.008008416713957007,0.06595511109041208,0.1074608892161942,True,0.04150577812578213
9,0.096,0.0878360003232956,0.007285568146376981,0.06895629002570455,0.10671571062088664,True,0.037759420595182086
9,0.0966,0.08862000033259392,0.006781415370289092,0.07104674385809956,0.10619325680708827,True,0.03514651294898871
9,0.0842,0.0868160006403923,0.006301218053964083,0.0704871201755308,0.1031448811052538,True,0.032657760929723
9,0.085,0.09135200083255768,0.02494732321497766,0.026703887530183684,0.15600011413493167,True,0.129296226604748
9,0.0866,0.08712800011038781,0.007180168206693012,0.06852142161070691,0.1057345786100687,True,0.037213156999361785
9,0.0824,0.09628800034523011,0.0444009750749474,-0.01877201000721336,0.21134801069767356,True,0.2301200207048869
9,0.078,0.09299200028181076,0.038060223103909864,-0.0056366820153733455,0.19162068257899487,True,0.1972573645943682
9,0.081,0.09209600061178208,0.024860065497215086,0.027674005629831133,0.15651799559373303,True,0.1288439899639019
9,0.0814,0.08956000044941902,0.007330702471685352,0.07056332974885335,0.10855667114998468,True,0.037993341401131336
9,0.0746,0.08985200062394143,0.00839721937064739,0.06809157427998073,0.11161242696790212,True,0.043520852687921385
9,0.0774,0.08955200046300887,0.007676099138074575,0.069660274103342,0.10944372682267575,True,0.039783452719333756
9,0.0826,0.08916000053286552,0.008678156641852112,0.06667155762443434,0.1116484434412967,True,0.04497688581686235
9,0.0726,0.0903760004043579,0.025373929746926604,0.02462238543451803,0.15612961537419778,True,0.13150722993967975
9,0.0774,0.08512000039219857,0.007571208869251996,0.06550008507713656,0.10473991570726057,True,0.03923983063012401
9,0.074,0.10001599982380867,0.056288509532226236,-0.04584918621251931,0.24588118586013663,True,0.29173037207265595
9,0.0756,0.08596400022506714,0.007854547060170622,0.0656098466387665,0.10631815381136779,True,0.040708307172601293
10,0.0978,0.08526799991726876,0.006327287652645886,0.06887156309155822,0.1016644367429793,True,0.032792873651421084
10,0.089,0.08295200020074844,0.0059000418472672025,0.06766272164593017,0.09824127875556672,True,0.030578557109636556
10,0.0944,0.08430400013923645,0.00689280662316878,0.06644208606909527,0.10216591420937762,True,0.035723828140282354
10,0.076,0.08519200026988984,0.006441485010118351,0.06849963415184226,0.10188436638793741,True,0.033384732236095144
10,0.0824,0.0851520000398159,0.006527303562635222,0.06823724503223706,0.10206675504739475,True,0.03382951001515769
10,0.085,0.08572800055146218,0.006821818668979552,0.06805004358429283,0.10340595751863153,True,0.035355913934338706
10,0.0786,0.08457999989390373,0.006661440860410944,0.06731764353647454,0.10184235625133292,True,0.03452471271485838
10,0.0736,0.08510400012135505,0.007567745825931907,0.06549305888399265,0.10471494135871745,True,0.0392218824747248
10,0.0794,0.08338399991393089,0.0075707689941627646,0.06376522448447355,0.10300277534338823,True,0.03923755085891467
10,0.0776,0.08464400008320809,0.006135573550743544,0.06874436826036874,0.10054363190604744,True,0.0317992636456787
10,0.07,0.08425200000405311,0.00602113735877284,0.06864891638563085,0.09985508362247537,True,0.031206167236844523
10,0.076,0.0852080000936985,0.006327585212797496,0.06881079217514446,0.10160520801225253,True,0.03279441583710807
10,0.078,0.08542400002479553,0.006031999936629004,0.06979276728761011,0.10105523276198095,True,0.03126246547437084
10,0.0744,0.0858600002527237,0.007117780532313195,0.0674150922219433,0.10430490828350408,True,0.036889816061560776
10,0.0738,0.08582000017166137,0.00543370941256672,0.07173916838346811,0.09990083195985464,True,0.028161663576386525
10,0.066,0.08607200026512146,0.0066538122190115965,0.06882941265279083,0.1033145878774521,False,0.03448517522466127
10,0.0732,0.08534400030970574,0.006844564587831049,0.06760709991496275,0.10308090070444872,True,0.035473800789485976
10,0.0726,0.08557600066065789,0.00679171745927626,0.06797604750971634,0.10317595381159944,True,0.035199906301883105
10,0.0732,0.08525200039148331,0.006742202453031456,0.0677803596733546,0.10272364110961202,True,0.03494328143625741
10,0.0742,0.08444400012493133,0.006627010492505641,0.06727086609833915,0.10161713415152351,True,0.03434626805318436
11,0.1136,0.09771200001239777,0.009250396780831917,0.07374066272599492,0.12168333729880063,True,0.04794267457280571
11,0.1122,0.09408000022172928,0.009152048456212761,0.07036352128539025,0.11779647915806832,True,0.047432957872678067
11,0.111,0.09991999983787536,0.008377302437231442,0.07821118593173072,0.12162881374402,True,0.04341762781228928
11,0.1058,0.0959160003066063,0.010367494017186042,0.06904983426109103,0.12278216635212157,True,0.05373233209103054
11,0.1106,0.100484000146389,0.007918291626220259,0.07996465986278717,0.12100334042999084,True,0.04103868056720367
11,0.1026,0.10122400015592575,0.008675172791729649,0.07874328955124243,0.12370471076060907,True,0.04496142120936664
11,0.1074,0.09993599981069565,0.008397089069200267,0.07817591112791986,0.12169608849347144,True,0.04352017736555158
11,0.122,0.09919999986886978,0.008253096361635848,0.07781305169472184,0.12058694804301771,False,0.04277389634829587
11,0.1002,0.09952399998903275,0.009171773527726154,0.0757564058028889,0.1232915941751766,True,0.04753518837228771
11,0.1084,0.09921200022101402,0.008509609833339314,0.07716032694432222,0.12126367349770582,True,0.044103346553383604
11,0.1108,0.09955600008368493,0.007955706277036456,0.07893970404397688,0.12017229612339297,True,0.0412325920794161
11,0.1168,0.09947200015187263,0.009018448701447346,0.0761017295846166,0.12284227071912866,True,0.046740541134512065
11,0.1102,0.09896000027656555,0.007846629741693312,0.07862636350874525,0.11929363704438586,True,0.04066727353564062
11,0.1072,0.09927599966526031,0.009165665476529444,0.07552423378993035,0.12302776554059026,True,0.04750353175065991
11,0.1054,0.09867599964141846,0.008674734341881256,0.07619642522899242,0.1211555740538445,True,0.04495914882485208
11,0.103,0.10094400018453598,0.00937042508671169,0.07666162337492893,0.12522637699414302,True,0.048564753619214085
11,0.1016,0.0963079996407032,0.010272854410359113,0.06968708123046795,0.12292891805093846,True,0.05324183682047051
