condition_id,y_true,y_pred_deterministic,y_pred,y_std,lower,upper,covered,abs_error,interval_width,checkpoint,checkpoint_sha256,fold
3,0.0864,0.090919174,0.090571016,0.0096089505,0.07173747,0.109404564,True,0.004171014,0.037667096,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0794,0.09129176,0.09079195,0.012567,0.06616063,0.11542327,True,0.011391945,0.049262643,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0756,0.09088768,0.09105648,0.00948366,0.072468504,0.10964446,True,0.015456483,0.037175953,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0774,0.09054927,0.088458516,0.0107125845,0.06746185,0.10945518,True,0.011058517,0.041993335,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0812,0.09147381,0.092654906,0.00894598,0.075120784,0.11018903,True,0.011454903,0.035068244,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0748,0.09172691,0.09400237,0.0072674565,0.07975816,0.10824659,False,0.019202374,0.028488427,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
3,0.0816,0.0913514,0.09013308,0.009362179,0.07178321,0.10848295,True,0.008533075,0.036699742,checkpoints/ResNetVibCNN_vib_spec_fold2_repeat0.pt,02c79639d23d62be130ff2511ad36efab6fae7459a8e8baa4c3e1f02228605ff,2
4,0.119,0.14815164,0.15717518,0.036403503,0.08582432,0.22852606,True,0.03817518,0.14270175,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.1162,0.20896709,0.20442092,0.047738593,0.11085328,0.29798856,True,0.088220924,0.18713528,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.106,0.1786194,0.17668484,0.03346419,0.111095026,0.24227466,False,0.07068484,0.13117963,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.1104,0.17406046,0.17125158,0.035610184,0.10145562,0.24104753,True,0.06085158,0.1395919,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.1072,0.2322345,0.23048332,0.053106498,0.12639458,0.33457208,False,0.12328333,0.20817749,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0988,0.2724188,0.2764602,0.0696597,0.13992718,0.41299322,False,0.1776602,0.27306604,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0946,0.28983527,0.29803714,0.06534636,0.16995828,0.426116,False,0.20343715,0.2561577,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0958,0.18610764,0.19511886,0.039208237,0.11827071,0.271967,False,0.09931886,0.15369628,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0982,0.24137284,0.24194308,0.052211177,0.13960916,0.344277,False,0.14374307,0.20466784,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0922,0.28506234,0.28777847,0.070658565,0.14928767,0.42626926,False,0.19557846,0.2769816,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0908,0.17714074,0.19695255,0.033079784,0.13211617,0.26178893,False,0.10615255,0.12967277,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.087,0.21960196,0.20938678,0.0533149,0.10488958,0.313884,False,0.12238678,0.20899442,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
4,0.0816,0.1871407,0.19718564,0.045830566,0.107357726,0.28701353,False,0.11558563,0.1796558,checkpoints/ResNetVibCNN_vib_spec_fold3_repeat0.pt,c7186cdc135ed146ad602e5d40a61e60de276dc6b10f340597cb9a05d6c6b8e2,3
