fold,repeat,condition_id,y_true,y_pred,y_std,lower,upper,covered,abs_error,interval_width
4,0,5,0.09700000286102295,-0.37532188789487164,0.09076108070875431,-0.55321360608403,-0.1974301697057132,False,0.4723218907558946,0.35578343637831683
4,0,5,0.09520000219345093,-0.3495780517578031,0.08960606601704812,-0.5252059411512174,-0.1739501623643888,False,0.444778053951254,0.3512557787868287
4,0,5,0.09539999812841415,-0.3385716943304742,0.09089335434372929,-0.5167226688441836,-0.16042071981676478,False,0.43397169245888834,0.35630194902741885
4,0,5,0.10360000282526016,-0.3669830627134196,0.09479345407874767,-0.552778232707765,-0.18118789271907418,False,0.4705830655386798,0.37159033998869084
4,0,5,0.09799999743700027,-0.3292231691970911,0.08006653130625156,-0.48615357055734415,-0.17229276783683806,False,0.4272231666340914,0.3138608027205061
4,0,5,0.09260000288486481,-0.3838877883717578,0.07697197723681715,-0.5347528637559193,-0.2330227129875962,False,0.4764877912566226,0.30173015076832316
4,0,5,0.09300000220537186,-0.3687515850596107,0.08468793674564523,-0.5347399410810754,-0.20276322903814606,False,0.46175158726498255,0.33197671204292933
4,0,5,0.09619999676942825,-0.32532839146547327,0.09183863064529434,-0.5053321075302502,-0.14532467540069638,False,0.4215283882349015,0.3600074321295538
4,0,5,0.09560000151395798,-0.37901766427962147,0.0738523198352846,-0.5237682111567793,-0.23426711740246364,False,0.47461766579357945,0.28950109375431565
4,0,5,0.09120000153779984,-0.35777784951543745,0.09648931707350908,-0.5468969109795152,-0.16865878805135967,False,0.4489778510532373,0.3782381229281555
4,0,5,0.094200000166893,-0.3375717528299241,0.1029129021356996,-0.5392810410158952,-0.13586246464395285,False,0.4317717529968171,0.4034185763719424
4,0,5,0.09399999678134918,-0.40346962503359035,0.07869615632371882,-0.5577140914280793,-0.24922515863910147,False,0.49746962181493953,0.3084889327889778
5,0,6,0.10499999672174454,-0.4441476401306673,0.09621210841569208,-0.6327233726254238,-0.25557190763591087,False,0.5491476368524119,0.3771514649895129
5,0,6,0.08780000358819962,-0.41868972271731975,0.08223344066715063,-0.5798672664249349,-0.2575121790097045,False,0.5064897263055194,0.3223550874152304
5,0,6,0.09359999746084213,-0.44670476507138773,0.2754898571330032,-0.9866648850520741,0.09325535490929854,False,0.5403047625322299,1.0799202399613725
5,0,6,0.09539999812841415,-0.5104587532388197,0.10019032940199782,-0.7068317988667354,-0.31408570761090404,False,0.6058587513672339,0.3927460912558314
5,0,6,0.10119999945163727,-0.22062078583657851,0.9126023524352425,-2.0093213966096535,1.5680798249364967,True,0.3218207852882158,3.5774012215461504
5,0,6,0.09539999812841415,-0.4109938095358154,0.4684048278311831,-1.3290672720849341,0.5070796530133035,True,0.5063938076642296,1.8361469250982376
5,0,6,0.09920000284910202,-0.23058013640732927,0.9074427283073241,-2.0091678838896847,1.548007611075026,True,0.3297801392564313,3.557175494964711
5,0,6,0.09640000015497208,-0.13371526710760018,0.9888800122855252,-2.0719200911872298,1.8044895569720292,True,0.23011526726257225,3.876409648159259
5,0,6,0.09080000221729279,-0.4208502953471714,0.08856666559092095,-0.5944409599053765,-0.24725963078896632,False,0.5116502975644641,0.3471813291164102
5,0,6,0.09799999743700027,-0.4938156584304212,0.08416050704497259,-0.6587702522385674,-0.32886106462227493,False,0.5918156558674215,0.3299091876162925
5,0,6,0.08380000293254852,-0.49580175520884895,0.08181851902207588,-0.6561660524921177,-0.3354374579255802,False,0.5796017581413975,0.32072859456653746
5,0,6,0.08460000157356262,-0.4347825261937894,0.4447299498967334,-1.306453227991387,0.43688817560380816,True,0.519382527767352,1.743341403595195
5,0,6,0.08720000088214874,-0.41791181276735756,0.3980713230485917,-1.1981316059425973,0.36230798040788215,True,0.5051118136495063,1.5604395863504794
5,0,6,0.08619999885559082,-0.46756665101286715,0.3696727824801846,-1.192125304674029,0.25699200264829464,True,0.5537666498684579,1.4491173073223236
5,0,6,0.08860000222921371,-0.230218978456118,0.7904460592083955,-1.7794932545045732,1.3190552975923373,True,0.3188189806853317,3.0985485520969105
5,0,6,0.08340000361204147,-0.3928646859012215,0.6656072961808948,-1.697454986415775,0.9117256146133321,True,0.47626468951326295,2.609180601029107
5,0,6,0.07900000363588333,-0.4359469850190581,0.08220805562768493,-0.5970747740493205,-0.2748191959887956,False,0.5149469886549414,0.3222555780605249
5,0,6,0.08579999953508377,-0.4717655182990798,0.10522382929491626,-0.6780042237171157,-0.26552681288104396,False,0.5575655178341636,0.4124774108360717
5,0,6,0.08619999885559082,-0.4668632520791256,0.08842545413308216,-0.6401771421799667,-0.2935493619782846,False,0.5530632509347164,0.3466277802016821
5,0,6,0.07819999754428864,-0.48261309835351596,0.08606162095267057,-0.6512938754207502,-0.3139323212862816,False,0.5608130958978046,0.3373615541344686
6,0,7,0.3806000053882599,-0.1911310915546724,1.3437615716303846,-2.824903771950226,2.4426415888408815,True,0.5717310969429323,5.267545360791107
6,0,7,0.37700000405311584,-0.02843610306164411,1.2458976537045552,-2.4703955043225725,2.413523298199284,True,0.40543610711475997,4.8839188025218565
6,0,7,0.36739999055862427,0.8832536178300785,1.836041924081349,-2.7153885533693654,4.481895789029522,True,0.5158536272714542,7.197284342398888
6,0,7,0.3643999993801117,-0.14280897532648495,1.3319878563333474,-2.7535051737398457,2.467887223086876,True,0.5072089747065966,5.2213923968267215
6,0,7,0.3675999939441681,1.9236696475933974,2.005151943792408,-2.006428162239722,5.8537674574265175,True,1.5560696536492293,7.860195619666239
6,0,7,0.3630000054836273,-0.053604745815365236,1.4365865343200874,-2.869314353082737,2.762104861452006,True,0.41660475129899255,5.631419214534743
6,0,7,0.362199991941452,0.21798089609814497,1.6484250094335813,-3.0129321223916743,3.448893914587964,True,0.14421909584330705,6.461826036979638
6,0,7,0.3562000095844269,-0.10507788965636701,1.3854836595088982,-2.820625862293807,2.6104700829810734,True,0.4612778992407939,5.431095945274881
6,0,7,0.3547999858856201,0.8900225901240288,1.8836630298400199,-2.80195694836241,4.582002128610467,True,0.5352226042384087,7.383959076972877
6,0,7,0.35280001163482666,0.16612246817762116,1.3827336270855808,-2.544035440910117,2.8762803772653593,True,0.1866775434572055,5.420315818175476
6,0,7,0.3495999872684479,2.6405020255226734,1.5967073627651482,-0.4890444054970171,5.770048456542364,True,2.2909020382542256,6.259092862039381
6,0,7,0.3495999872684479,2.3834659068921074,1.7273949702032194,-1.0022282347062026,5.769160048490417,True,2.0338659196236595,6.77138828319662
6,0,7,0.3564000129699707,1.7218093529207357,2.001742318828838,-2.201605591983787,5.6452242978252585,True,1.365409339950765,7.846829889809046
6,0,7,0.34599998593330383,1.0164185495149103,2.0535938492259236,-3.0086253949679,5.04146249399772,True,0.6704185635816065,8.05008788896562
6,0,7,0.3375999927520752,2.438302321434506,1.613324938220993,-0.7238145574786405,5.600419200347652,True,2.1007023286824307,6.324233757826292
6,0,7,0.33660000562667847,2.0052458333717267,2.003656434334634,-1.9219207779241558,5.932412444667609,True,1.6686458277450482,7.854333222591764
6,0,7,0.3458000123500824,2.129854875951837,1.8475228742600467,-1.4912899575978544,5.750999709501529,True,1.7840548636017548,7.242289667099383
6,0,7,0.3370000123977661,2.435761547473498,1.7522892903593694,-0.9987254616308663,5.870248556577862,True,2.098761535075732,6.868974018208728
6,0,7,0.3391999900341034,2.5969427590653447,1.540704141743724,-0.4228373587523544,5.616722876883044,True,2.2577427690312413,6.039560235635398
6,0,7,0.33559998869895935,1.53220984582929,1.9515697666546021,-2.29286689681373,5.35728658847231,True,1.1966098571303307,7.65015348528604
7,0,8,0.25780001282691956,1.7993754001400795,1.8417411055801782,-1.81043716679707,5.409187967077229,True,1.54157538731316,7.219625133874299
7,0,8,0.25920000672340393,1.7868655726318563,1.8422266013776951,-1.8238985660684262,5.397629711332138,True,1.5276655659084524,7.221528277400564
7,0,8,0.2533999979496002,1.7963938619167175,1.8476184233530883,-1.8249382478553355,5.41772597168877,True,1.5429938639671172,7.242664219544106
7,0,8,0.2526000142097473,1.8072669979868226,1.806929548800184,-1.734314917661538,5.348848913635183,True,1.5546669837770752,7.083163831296721
7,0,8,0.24379999935626984,1.7934748657131636,1.7982581650984828,-1.7311111378798625,5.31806086930619,True,1.5496748663568938,7.049172007186052
7,0,8,0.23340000212192535,1.8248816356312516,1.8049192351912011,-1.7127600653435024,5.362523336606006,True,1.5914816335093263,7.075283401949508
7,0,8,0.2409999966621399,1.7835225150977185,1.7990719340460193,-1.742658475632479,5.309703505827916,True,1.5425225184355786,7.052361981460395
7,0,8,0.24660000205039978,1.799522908538765,1.7994055958658834,-1.7273120593583664,5.326357876435896,True,1.5529229064883652,7.053669935794263
7,0,8,0.2433999925851822,1.7684695762828375,1.814496520002197,-1.7879436029214686,5.324882755487144,True,1.5250695836976553,7.112826358408612
7,0,8,0.25940001010894775,1.7837796072945682,1.7932001377577975,-1.7308926627107148,5.2984518772998515,True,1.5243795971856204,7.029344540010566
7,0,8,0.24699999392032623,1.8103149822557767,1.816309876486527,-1.7496523756578162,5.37028234016937,True,1.5633149883354505,7.119934715827186
7,0,8,0.23019999265670776,1.8152367875457716,1.8132695071293956,-1.7387714464278436,5.3692450215193865,True,1.5850367948890638,7.10801646794723
7,0,8,0.2433999925851822,1.7935742474163405,1.803445724531118,-1.7411793726646507,5.328327867497332,True,1.5501742548311583,7.0695072401619825
7,0,8,0.23520000278949738,1.7959491807395325,1.7937877499088652,-1.7198748090818432,5.311773170560908,True,1.560749177950035,7.031647979642751
7,0,8,0.2370000034570694,1.7812818169696714,1.8043149885673169,-1.7551755606222694,5.317739194561613,True,1.544281813512602,7.0729147551838825
7,0,8,0.23980000615119934,1.7914334734053907,1.8093141053618187,-1.7548221731037736,5.337689119914555,True,1.5516334672541914,7.092511293018329
7,0,8,0.2231999933719635,1.7917698507402662,1.8025603674508077,-1.7412484694633168,5.324788170943849,True,1.5685698573683027,7.066036640407166
7,0,8,0.2295999974012375,1.7713296522399753,1.8091097655345003,-1.7745254882076453,5.317184792687596,True,1.5417296548387378,7.091710280895241
7,0,8,0.2231999933719635,1.7336870245112235,1.8076365954105877,-1.8092807024935285,5.276654751515975,True,1.51048703113926,7.085935454009504
7,0,8,0.23160000145435333,1.6774599867510487,1.807215118732457,-1.8646816459645668,5.219601619466664,True,1.4458599852966953,7.08428326543123
8,0,9,0.09600000083446503,-0.07828018119892141,0.21930071988732783,-0.5081095921780839,0.35154922978024117,True,0.17428018203338644,0.8596588219583251
8,0,9,0.0997999981045723,-0.11730135403694027,0.21003650592013617,-0.5289729056404072,0.29437019756652666,True,0.21710135214151255,0.8233431032069338
8,0,9,0.09399999678134918,-0.20508219359095586,0.2279458897929647,-0.6518561375851667,0.24169175040325497,True,0.29908219037230505,0.8935478879884217
8,0,9,0.09539999812841415,-0.12366060924027768,0.20978051163124892,-0.5348304120375256,0.2875091935569702,True,0.21906060736869182,0.8223396055944958
8,0,9,0.09600000083446503,-0.15588869340025208,0.22788718231939617,-0.6025475707462686,0.2907701839457644,True,0.2518886942347171,0.893317754692033
8,0,9,0.0966000035405159,-0.25171732220391,0.23945157401088357,-0.7210424072652418,0.21760776285742178,True,0.3483173257444259,0.9386501701226636
8,0,9,0.08420000225305557,-0.16265916395919086,0.22719900684952474,-0.6079692173842594,0.2826508894658776,True,0.24685916621224643,0.8906201068501369
8,0,9,0.08500000089406967,-0.24109014482089056,0.250050310525775,-0.7311887534514095,0.2490084638096284,True,0.3260901457149602,0.9801972172610379
8,0,9,0.08659999817609787,-0.23736602168365117,0.2324723057755212,-0.6930117410036727,0.21827969763637034,True,0.32396601985974904,0.911291438640043
8,0,9,0.08240000158548355,-0.21713940852120486,0.23817577668019999,-0.6839639308143969,0.24968511377198713,True,0.2995394101066884,0.933649044586384
8,0,9,0.07800000160932541,-0.34861294355138966,0.49606499476502103,-1.320900333290831,0.6236744461880515,True,0.4266129451607151,1.9445747794788824
8,0,9,0.08100000023841858,-0.25308205552997676,0.5235091926363095,-1.279160073097143,0.7729959620371897,True,0.33408205576839534,2.052156035134333
8,0,9,0.08139999955892563,-0.2967209389438534,0.23963582980526965,-0.7664071653621819,0.17296528747447515,True,0.378120938502779,0.939372452836657
8,0,9,0.07460000365972519,-0.47500246843515304,0.23247724388143295,-0.9306578664427616,-0.019347070427544466,False,0.5496024720948782,0.9113107960152171
8,0,9,0.07739999890327454,-0.45994457075583006,0.25504287314683105,-0.9598286021236189,0.0399394606119588,False,0.5373445696591046,0.9997680627355776
8,0,9,0.08259999752044678,-0.38176443588873304,0.47315687496840475,-1.3091519108268064,0.5456230390493402,True,0.4643644334091798,1.8547749498761466
8,0,9,0.07259999960660934,-0.4274367058766078,0.2298083673763302,-0.877861105934215,0.022987694180999385,False,0.5000367054832171,0.9008488001152144
8,0,9,0.07739999890327454,-0.44410639085040754,0.2593762972378039,-0.9524839334365032,0.06427115173568815,False,0.521506389753682,1.0167550851721914
8,0,9,0.07400000095367432,-0.2461926293664366,0.9577541754129654,-2.1233908131758485,1.6310055544429756,True,0.3201926303201109,3.754396367618824
8,0,9,0.07559999823570251,-0.3550734468150729,0.7346222709853482,-1.7949330979463554,1.0847862043162095,True,0.4306734450507754,2.879719302262565
9,0,10,0.09780000150203705,-0.4151460372509572,0.14009978055942418,-0.6897416071474286,-0.14055046735448584,False,0.5129460387529943,0.5491911397929428
9,0,10,0.08900000154972076,-0.44484619838397726,0.1285451154712482,-0.6967946247076238,-0.19289777206033082,False,0.5338461999336981,0.5038968526472929
9,0,10,0.09440000355243683,-0.40684752153650444,0.13913547480902216,-0.6795530521621879,-0.13414199091082102,False,0.5012475250889412,0.5454110612513668
9,0,10,0.07599999755620956,-0.5203962602495814,0.07341278282802075,-0.6642853145925021,-0.37650720590666076,False,0.596396257805791,0.2877781086858413
9,0,10,0.08240000158548355,-0.5096989180322462,0.07505749410967043,-0.6568116064872003,-0.36258622957729214,False,0.5920989196177298,0.29422537690990813
9,0,10,0.08500000089406967,-0.49881550661065527,0.08176390171340944,-0.6590727539689378,-0.33855825925237276,False,0.5838155075047249,0.32051449471656507
9,0,10,0.07859999686479568,-0.45346106460539054,0.11046503179728741,-0.6699725269280739,-0.23694960228270723,False,0.5320610614701862,0.4330229246453666
9,0,10,0.07360000163316727,-0.5451389372265134,0.06319162334086555,-0.6689945189746098,-0.42128335547841694,False,0.6187389388596807,0.24771116349619288
9,0,10,0.07940000295639038,-0.4816296669855976,0.1278716447112567,-0.7322580906196607,-0.2310012433515345,False,0.561029669941988,0.5012568472681262
9,0,10,0.07760000228881836,-0.5127596231054629,0.07434372455642063,-0.6584733232360473,-0.3670459229748784,False,0.5903596253942812,0.2914274002611689
9,0,10,0.07000000029802322,-0.5035527081201752,0.11085292813919136,-0.7208244472729902,-0.2862809689673601,False,0.5735527084181984,0.4345434783056301
9,0,10,0.07599999755620956,-0.5264276295699406,0.08977493137862197,-0.7023864950720397,-0.35046876406784155,False,0.6024276271261502,0.3519177310041981
