condition_id,y_true,y_pred,y_std,lower,upper,covered,abs_error,interval_width,fold
5,0.0962,0.089766435,0.013343782,0.063612625,0.115920246,True,0.0064335614,0.05230762,4
5,0.0956,0.07832226,0.014108175,0.050670236,0.10597429,True,0.01727774,0.05530405,4
5,0.0912,0.09263702,0.014418195,0.06437735,0.12089668,True,0.0014370158,0.05651933,4
5,0.0942,0.09096158,0.01123829,0.06893453,0.112988636,True,0.0032384172,0.044054106,4
5,0.094,0.08974066,0.01595118,0.05847634,0.12100497,True,0.0042593405,0.062528625,4
6,0.105,0.056786146,0.019540958,0.018485866,0.095086426,False,0.04821385,0.07660056,5
6,0.0878,0.048909813,0.025980758,-0.0020124726,0.0998321,True,0.03889019,0.10184458,5
6,0.0936,0.052822266,0.018917982,0.01574302,0.08990151,False,0.04077773,0.07415849,5
6,0.0954,0.04785962,0.023303324,0.0021851026,0.09353414,False,0.047540378,0.091349036,5
6,0.1012,0.053245448,0.025252365,0.0037508123,0.10274008,True,0.047954552,0.09898926,5
6,0.0954,0.052230507,0.023684856,0.0058081895,0.098652825,True,0.04316949,0.092844635,5
6,0.0992,0.047514386,0.023694582,0.0010730028,0.09395577,False,0.051685616,0.09288277,5
6,0.0964,0.05312858,0.024603587,0.0049055517,0.10135161,True,0.04327142,0.09644606,5
6,0.0908,0.04737234,0.027806534,-0.007128466,0.101873145,True,0.04342766,0.10900161,5
6,0.098,0.043144025,0.024215335,-0.0043180324,0.09060608,False,0.054855973,0.09492411,5
6,0.0838,0.048715863,0.023838954,0.0019915141,0.09544021,True,0.03508414,0.0934487,5
6,0.0846,0.048407033,0.024077265,0.001215592,0.095598474,True,0.03619297,0.09438288,5
6,0.0872,0.056644186,0.023505772,0.010572873,0.1027155,True,0.030555815,0.09214263,5
6,0.0862,0.05594571,0.018498365,0.019688912,0.09220251,True,0.03025429,0.072513595,5
6,0.0886,0.051513173,0.024183054,0.0041143857,0.098911956,True,0.03708683,0.09479757,5
6,0.0834,0.060104262,0.021327626,0.018302113,0.10190641,True,0.023295742,0.0836043,5
6,0.079,0.046913885,0.026280018,-0.004594952,0.09842272,True,0.03208612,0.10301767,5
6,0.0858,0.058190826,0.021722633,0.015614465,0.10076719,True,0.027609173,0.08515272,5
6,0.0862,0.04433727,0.026236642,-0.007086549,0.09576109,True,0.04186273,0.102847636,5
6,0.0782,0.058772348,0.02215619,0.015346214,0.10219848,True,0.01942765,0.08685227,5
7,0.3806,0.105606005,0.0034058625,0.098930515,0.112281494,False,0.27499402,0.0133509785,6
7,0.377,0.10613847,0.0037528933,0.0987828,0.113494135,False,0.27086154,0.014711335,6
7,0.3674,0.11397195,0.005445328,0.1032991,0.12464479,False,0.25342804,0.02134569,6
7,0.3644,0.10105372,0.0024884224,0.096176416,0.10593103,False,0.26334628,0.009754613,6
7,0.3676,0.09886961,0.0030950687,0.09280327,0.104935944,False,0.2687304,0.012132674,6
7,0.363,0.10310275,0.003375168,0.09648742,0.109718084,False,0.25989726,0.0132306665,6
7,0.3622,0.09912246,0.0028601652,0.093516536,0.10472838,False,0.26307753,0.011211842,6
7,0.3562,0.098736286,0.0028823584,0.09308686,0.10438571,False,0.25746372,0.01129885,6
7,0.3548,0.099129885,0.0028373613,0.09356866,0.10469111,False,0.2556701,0.01112245,6
7,0.35279998,0.09939518,0.0032125912,0.0930985,0.10569186,False,0.2534048,0.012593359,6
7,0.3496,0.100034535,0.002540872,0.095054425,0.105014645,False,0.24956545,0.009960219,6
7,0.3496,0.10172642,0.0030242119,0.09579896,0.10765388,False,0.24787357,0.011854917,6
7,0.3564,0.09929517,0.0030265788,0.09336308,0.10522726,False,0.25710484,0.011864185,6
7,0.346,0.09543394,0.0036354056,0.08830855,0.102559336,False,0.25056604,0.014250785,6
7,0.3376,0.105268136,0.0027219914,0.099933036,0.110603236,False,0.23233186,0.0106702,6
7,0.3366,0.09631079,0.0037684273,0.08892467,0.103696905,False,0.24028921,0.014772236,6
7,0.3458,0.10796481,0.004046907,0.10003287,0.115896754,False,0.2378352,0.01586388,6
7,0.33699998,0.09970437,0.0031804608,0.09347066,0.10593808,False,0.23729561,0.012467414,6
7,0.33919996,0.10294227,0.0027728672,0.097507454,0.10837709,False,0.23625769,0.010869637,6
7,0.3356,0.10234652,0.0029256165,0.09661231,0.10808072,False,0.23325348,0.0114684105,6
8,0.2578,0.1577152,0.018662376,0.12113695,0.19429345,False,0.10008481,0.073156506,7
8,0.2592,0.13843416,0.015681855,0.10769772,0.16917059,False,0.12076585,0.06147287,7
8,0.2534,0.13543971,0.015776666,0.104517445,0.16636197,False,0.11796029,0.061844528,7
8,0.2526,0.18243553,0.03217483,0.11937286,0.2454982,False,0.07016449,0.12612534,7
8,0.2438,0.22365555,0.049991045,0.1256731,0.321638,True,0.020144448,0.19596489,7
8,0.2334,0.13295798,0.014492236,0.10455319,0.16136277,False,0.10044202,0.056809574,7
8,0.241,0.2618935,0.043291204,0.17704275,0.34674427,True,0.020893514,0.16970152,7
8,0.2466,0.14980632,0.019834373,0.11093095,0.18868169,False,0.09679368,0.07775074,7
8,0.2434,0.17901456,0.029345155,0.12149806,0.23653106,False,0.06438543,0.115033,7
8,0.2594,0.20418735,0.03758797,0.13051492,0.27785978,True,0.05521266,0.14734486,7
8,0.247,0.18440828,0.033295568,0.11914896,0.24966758,True,0.06259172,0.13051862,7
8,0.2302,0.13541363,0.01627787,0.10350901,0.16731825,False,0.09478636,0.063809246,7
8,0.2434,0.20954475,0.03438414,0.14215183,0.27693766,True,0.033855245,0.13478583,7
8,0.2352,0.19263555,0.02787112,0.13800815,0.24726295,True,0.04256445,0.10925481,7
8,0.237,0.15384912,0.026129438,0.10263543,0.20506282,False,0.08315088,0.10242739,7
8,0.2398,0.19380644,0.032355357,0.13038993,0.25722295,True,0.045993567,0.12683302,7
8,0.2232,0.13988285,0.020862944,0.098991476,0.18077421,False,0.083317146,0.081782736,7
8,0.2296,0.22599015,0.057830416,0.11264253,0.33933777,True,0.003609851,0.22669524,7
8,0.2232,0.18785737,0.03743418,0.11448638,0.26122838,True,0.03534262,0.146742,7
8,0.2316,0.18165699,0.041262385,0.100782715,0.26253125,True,0.049943015,0.16174853,7
9,0.096,0.10221989,0.0015946508,0.09909437,0.105345406,False,0.0062198862,0.006251037,8
9,0.0998,0.11085285,0.0042397818,0.10254288,0.11916283,False,0.011052854,0.01661995,8
9,0.094,0.11607893,0.0060156584,0.104288235,0.12786962,False,0.022078931,0.023581386,8
9,0.0954,0.112123325,0.0044807876,0.10334098,0.12090567,False,0.016723327,0.017564684,8
9,0.096,0.11297493,0.006324968,0.10057799,0.12537186,False,0.016974926,0.02479387,8
9,0.0966,0.10463544,0.0034072264,0.097957276,0.111313604,False,0.008035436,0.013356328,8
9,0.0842,0.10965225,0.0043329713,0.101159625,0.11814488,False,0.025452249,0.016985252,8
9,0.085,0.11086094,0.004187285,0.10265386,0.11906801,False,0.025860935,0.01641415,8
9,0.0866,0.10914911,0.004285473,0.10074958,0.117548645,False,0.022549115,0.016799062,8
9,0.0824,0.11532619,0.014454802,0.086994775,0.1436576,False,0.032926187,0.05666282,8
9,0.078,0.104025155,0.00757173,0.08918457,0.11886574,False,0.026025154,0.029681176,8
9,0.081,0.10667231,0.005350583,0.09618517,0.11715945,False,0.02567231,0.020974278,8
9,0.0814,0.09668088,0.005380887,0.086134344,0.107227415,False,0.01528088,0.02109307,8
9,0.0746,0.09564237,0.005305708,0.08524319,0.10604156,False,0.02104237,0.02079837,8
9,0.0774,0.095365785,0.0069328947,0.08177731,0.10895426,False,0.017965786,0.027176946,8
9,0.0826,0.09822659,0.0071475124,0.08421747,0.11223572,False,0.015626594,0.028018251,8
9,0.0726,0.096631706,0.0035025051,0.08976679,0.10349662,False,0.024031706,0.013729826,8
9,0.0774,0.09882398,0.0054661008,0.088110425,0.109537534,False,0.02142398,0.02142711,8
9,0.074,0.10039016,0.0082512405,0.08421773,0.11656259,False,0.026390158,0.032344863,8
9,0.0756,0.10269704,0.0074629667,0.088069625,0.11732445,False,0.027097039,0.029254824,8
10,0.0978,0.10361528,0.008605062,0.08674935,0.1204812,True,0.005815275,0.033731848,9
10,0.089,0.10530897,0.0069145486,0.091756456,0.11886149,False,0.01630897,0.027105033,9
10,0.0944,0.104482956,0.0105360495,0.0838323,0.12513362,True,0.010082953,0.041301318,9
10,0.076,0.10913848,0.008980483,0.09153673,0.12674023,False,0.033138484,0.0352035,9
10,0.08240001,0.105667934,0.007615899,0.09074077,0.1205951,False,0.023267925,0.029854327,9
10,0.085,0.107738085,0.008020544,0.092017815,0.123458356,False,0.022738084,0.03144054,9
10,0.0786,0.10612148,0.009923424,0.08667157,0.12557139,False,0.027521484,0.038899817,9
10,0.0736,0.1066857,0.0072961403,0.09238526,0.120986134,False,0.033085696,0.028600872,9
10,0.0794,0.10437318,0.008294543,0.08811587,0.12063049,False,0.024973176,0.032514617,9
10,0.0776,0.10680687,0.0062348875,0.094586484,0.11902725,False,0.029206865,0.024440765,9
10,0.07,0.106841765,0.0074206097,0.09229737,0.12138616,False,0.036841765,0.029088795,9
10,0.076,0.11067104,0.0076538534,0.09566949,0.1256726,False,0.034671046,0.0300031,9
10,0.078,0.11040404,0.007995507,0.09473284,0.12607524,False,0.032404035,0.031342395,9
10,0.0744,0.10866489,0.0065647503,0.095797986,0.1215318,False,0.034264892,0.025733814,9
10,0.0738,0.10883685,0.007119159,0.0948833,0.1227904,False,0.035036854,0.027907103,9
10,0.066,0.10948548,0.006611024,0.09652787,0.12244309,False,0.043485478,0.02591522,9
10,0.0732,0.110541545,0.006350685,0.0980942,0.12298889,False,0.037341543,0.024894685,9
10,0.0726,0.10898927,0.005921202,0.097383715,0.12059482,False,0.03638927,0.023211107,9
10,0.0732,0.10718452,0.0077066957,0.0920794,0.12228964,False,0.03398452,0.030210242,9
10,0.0742,0.111013785,0.0059378264,0.09937564,0.12265193,False,0.036813788,0.023276284,9
11,0.1136,0.12082711,0.005832395,0.109395616,0.13225861,True,0.007227108,0.022862993,10
11,0.1122,0.13864213,0.010311724,0.11843115,0.15885311,False,0.026442133,0.040421963,10
11,0.111,0.12248783,0.006786284,0.10918671,0.13578895,True,0.011487827,0.026602238,10
11,0.1058,0.14088093,0.011403648,0.118529774,0.16323207,False,0.035080925,0.0447023,10
11,0.1106,0.12419157,0.007359507,0.10976693,0.1386162,True,0.013591565,0.028849274,10
11,0.1026,0.12829697,0.005851428,0.11682817,0.13976577,False,0.02569697,0.022937596,10
11,0.1074,0.12543023,0.007643052,0.11044984,0.1404106,False,0.018030226,0.029960759,10
11,0.122,0.122249015,0.006432869,0.10964059,0.13485745,True,0.0002490133,0.025216855,10
11,0.1002,0.124671414,0.0060390127,0.112834945,0.13650788,False,0.024471417,0.023672938,10
11,0.1084,0.12739736,0.008021636,0.11167495,0.14311977,False,0.018997356,0.031444818,10
11,0.1108,0.1323958,0.008049053,0.11661966,0.14817195,False,0.021595806,0.031552285,10
11,0.1168,0.122726314,0.004914801,0.1130933,0.13235933,True,0.005926311,0.019266024,10
11,0.1102,0.13544191,0.011522674,0.112857476,0.15802635,False,0.025241911,0.045168877,10
11,0.1072,0.1241075,0.0070059807,0.11037578,0.13783923,False,0.016907506,0.027463451,10
11,0.1054,0.12036488,0.006163884,0.10828367,0.1324461,False,0.014964879,0.024162427,10
11,0.103,0.12963872,0.007605004,0.114732906,0.14454453,False,0.026638716,0.02981162,10
11,0.1016,0.1174075,0.005148178,0.107317075,0.12749793,False,0.015807502,0.020180851,10
11,0.106,0.13099843,0.008893676,0.11356683,0.14843003,False,0.024998434,0.034863204,10
11,0.1034,0.12710005,0.009487971,0.108503625,0.14569648,False,0.023700051,0.03719285,10
11,0.1082,0.134093,0.010007369,0.11447856,0.15370744,False,0.025893003,0.039228886,10
12,0.1022,0.11566429,0.006115924,0.10367708,0.1276515,False,0.013464287,0.023974419,11
12,0.1066,0.12781313,0.009724613,0.10875289,0.14687337,False,0.02121313,0.03812048,11
12,0.102,0.13995694,0.010770309,0.11884713,0.16106674,False,0.03795694,0.04221961,11
12,0.1022,0.14309998,0.011329002,0.12089513,0.16530482,False,0.040899977,0.044409692,11
12,0.1014,0.12613918,0.006762536,0.11288461,0.13939375,False,0.024739176,0.026509136,11
12,0.0928,0.13173915,0.008352979,0.115367316,0.14811099,False,0.038939156,0.03274367,11
12,0.0964,0.14493056,0.008746116,0.12778817,0.16207294,False,0.048530556,0.03428477,11
12,0.0968,0.14918026,0.010868287,0.12787843,0.1704821,False,0.052380264,0.04260367,11
12,0.0988,0.14125745,0.009023623,0.12357115,0.15894374,False,0.042457446,0.035372593,11
12,0.089,0.14468634,0.0091013145,0.12684776,0.16252492,False,0.05568634,0.035677165,11
12,0.0898,0.13322882,0.009549379,0.11451204,0.1519456,False,0.043428823,0.037433565,11
12,0.0928,0.12389002,0.0068958574,0.11037414,0.1374059,False,0.031090021,0.027031764,11
